readed data
Epoch 116 Train cost: 3.74551876391 Validation cost: 3.8247909825,counter 2
Epoch 117 Train cost: 3.74211629036 Validation cost: 3.7128380059,counter 3
Epoch 118 Train cost: 3.73848624266 Validation cost: 3.66723912858,counter 4
Epoch 119 Train cost: 3.74062938828 Validation cost: 3.73151196803,counter 5
Epoch 120 Train cost: 3.73813593641 Validation cost: 3.81798170986,counter 6
Epoch 121 Train cost: 3.73128223305 Validation cost: 3.86885958298,counter 7
Epoch 122 Train cost: 3.72816604621 Validation cost: 3.83424427673,counter 8
Epoch 123 Train cost: 3.72984556884 Validation cost: 3.75198815313,counter 9
Epoch 124 Train cost: 3.72545842962Train mae: 2.73012374322 Validation cost: 3.59497844795 Validation mae 2.60001009857,counter 9 __best__ 
Epoch 125 Train cost: 3.71723127554 Validation cost: 3.76778021884,counter 1
Epoch 126 Train cost: 3.72827004473 Validation cost: 3.77112037738,counter 2
Epoch 127 Train cost: 3.71499835048 Validation cost: 3.69513809692,counter 3
Epoch 128 Train cost: 3.72000805836 Validation cost: 3.72955464157,counter 4
Epoch 129 Train cost: 3.70993141856 Validation cost: 3.74350420261,counter 5
Epoch 130 Train cost: 3.7082864774 Validation cost: 3.78644733394,counter 6
Epoch 131 Train cost: 3.69970914004 Validation cost: 3.74166676939,counter 7
Epoch 132 Train cost: 3.69783046715 Validation cost: 3.6706156779,counter 8
Epoch 133 Train cost: 3.6973872624Train mae: 2.6974624756 Validation cost: 3.59564798051 Validation mae 2.59645745555,counter 8 __best__ 
Epoch 134 Train cost: 3.69546193364 Validation cost: 3.65991753254,counter 1
Epoch 135 Train cost: 3.68378714619 Validation cost: 3.60283457691,counter 2
Epoch 136 Train cost: 3.68332413679 Validation cost: 3.61774435064,counter 3
Epoch 137 Train cost: 3.67965264772Train mae: 2.67900068296 Validation cost: 3.52301655183 Validation mae 2.52324883398,counter 3 __best__ 
Epoch 138 Train cost: 3.67711386837 Validation cost: 3.67645264943,counter 1
Epoch 139 Train cost: 3.6776194076 Validation cost: 3.52598777834,counter 2
